lead_id,age,education,occupation,city,course_enquiry,lead_source,website_visits,course_page_views,pricing_page_views,brochure_downloaded,email_opens,email_clicks,whatsapp_responses,calls_answered,followup_count,webinar_attended,demo_attended,video_watches,days_since_last_activity,purchased_within_30_days,purchased_course
100024,24,Bachelor,Student,Lucknow,Digital Marketing,Organic,12,6,5.0,1,9,4,3,1,4,0,0,3,9.7,1,Digital Marketing
100025,23,Bachelor,Self Employed,Jaipur,Finance,Instagram,7,4,1.0,0,4,1,2,0,1,0,0,2,20.1,0,No Purchase
100026,23,Bachelor,Job Seeker,Mumbai,Digital Marketing,Facebook,7,3,0.0,0,2,1,0,0,1,0,0,4,3.4,1,Digital Marketing
100027,28,Bachelor,Working Professional,Bengaluru,Data Science,Google,9,5,3.0,0,2,1,2,2,4,0,1,3,9.3,1,Data Science
100028,27,Master,Working Professional,Chennai,Business Analytics,LinkedIn,11,4,2.0,0,4,3,2,1,3,0,0,7,0.3,0,No Purchase
100029,27,Bachelor,Self Employed,Lucknow,Data Science,LinkedIn,7,3,1.0,0,3,2,1,0,3,0,1,3,12.1,1,Data Science
100030,27,Diploma,Student,Jaipur,Digital Marketing,Instagram,4,1,0.0,1,0,0,2,0,1,0,0,0,23.7,0,No Purchase
100031,36,Bachelor,Working Professional,Chennai,Digital Marketing,Google,9,4,2.0,0,4,2,2,1,2,1,0,2,13.1,1,Digital Marketing
100032,23,Bachelor,Working Professional,Mumbai,Business Analytics,Organic,7,5,3.0,0,4,1,2,1,2,1,1,2,5.6,1,Business Analytics
100033,22,Bachelor,Self Employed,Kolkata,Business Analytics,Organic,7,4,2.0,0,5,2,2,2,3,0,1,3,9.4,1,Business Analytics
100034,21,Bachelor,Job Seeker,Jaipur,Business Analytics,Google,9,1,0.0,0,3,0,2,0,2,0,0,1,3.6,0,No Purchase
100035,28,Bachelor,Student,Bengaluru,Digital Marketing,Facebook,8,7,1.0,0,3,3,2,1,2,0,0,4,12.9,1,Digital Marketing
100036,31,Bachelor,Working Professional,Hyderabad,Accounting,Google,11,3,4.0,0,3,2,1,0,1,0,0,7,2.8,0,No Purchase
100037,24,Master,Student,Mumbai,Data Science,Instagram,10,6,0.0,0,3,1,1,0,5,0,1,1,9.5,0,No Purchase
100038,21,Bachelor,Student,Bengaluru,Business Analytics,Facebook,7,7,0.0,0,3,1,1,2,2,0,0,3,7.3,0,No Purchase
100039,21,Bachelor,Working Professional,Jaipur,Finance,Instagram,7,5,1.0,0,3,2,1,1,3,0,1,3,13.1,0,No Purchase
100040,28,High School,Working Professional,Delhi,Digital Marketing,Facebook,8,3,2.0,0,3,2,2,1,5,0,0,5,9.2,1,Digital Marketing
100041,29,Bachelor,Student,Kolkata,Finance,Instagram,8,4,0.0,0,1,0,0,0,3,0,0,2,10.0,0,No Purchase
100042,28,Bachelor,Student,Delhi,Finance,Google,7,3,3.0,0,4,2,1,2,3,0,0,3,0.6,1,Finance
100043,22,Diploma,Working Professional,Bengaluru,Finance,Google,9,6,2.0,0,7,3,1,1,2,0,1,5,10.0,0,No Purchase
100044,26,Bachelor,Student,Pune,Business Analytics,Instagram,7,4,1.0,0,3,1,2,2,2,0,0,3,8.8,0,No Purchase
100045,26,High School,Job Seeker,Delhi,Data Science,Referral,9,3,5.0,0,3,2,3,1,3,1,1,2,7.2,1,Data Science
100046,26,Diploma,Working Professional,Chennai,Accounting,Google,14,5,3.0,0,7,3,3,1,3,0,0,6,9.1,1,Accounting
100047,29,Bachelor,Working Professional,Bengaluru,Data Science,Referral,10,5,3.0,1,5,3,4,2,4,0,0,5,2.6,1,Data Science
100048,26,Diploma,Student,Kolkata,Accounting,Organic,16,7,4.0,0,8,3,3,3,6,0,1,6,8.1,1,Accounting
100049,28,Bachelor,Self Employed,Other,Accounting,LinkedIn,16,4,2.0,0,5,2,3,1,5,1,1,6,9.6,1,Accounting
100050,25,Bachelor,Self Employed,Bengaluru,Data Science,LinkedIn,11,4,2.0,1,10,1,3,1,4,0,1,4,1.5,0,No Purchase
100051,26,Bachelor,Student,Delhi,Digital Marketing,Instagram,1,2,0.0,0,2,0,0,0,2,0,0,0,13.8,0,No Purchase
100052,28,High School,Working Professional,Lucknow,Business Analytics,LinkedIn,10,5,3.0,0,3,1,4,2,5,1,0,5,19.4,0,No Purchase
100053,18,Bachelor,Job Seeker,Bengaluru,Business Analytics,Organic,10,5,2.0,0,5,1,5,1,4,0,0,4,9.4,0,No Purchase
100054,23,High School,Student,Mumbai,Digital Marketing,Instagram,12,7,2.0,0,4,3,1,0,3,0,0,1,3.0,0,No Purchase
100055,23,Bachelor,Working Professional,Jaipur,Data Science,Instagram,0,0,0.0,0,0,0,0,2,1,0,0,0,18.8,0,No Purchase
100056,22,Bachelor,Job Seeker,Mumbai,Accounting,Google,3,1,2.0,0,1,0,0,2,0,0,0,4,6.3,0,No Purchase
100057,24,Bachelor,Working Professional,Pune,Digital Marketing,Organic,9,4,3.0,0,2,1,0,0,1,0,0,2,4.9,0,No Purchase
100058,32,Bachelor,Self Employed,Bengaluru,Digital Marketing,Referral,7,2,2.0,0,3,1,1,0,2,1,1,4,3.8,1,Digital Marketing
100059,21,Master,Student,Kolkata,Digital Marketing,Google,4,3,0.0,0,1,0,0,0,1,0,0,2,10.9,0,No Purchase
100060,30,High School,Self Employed,Chennai,Accounting,Organic,9,5,1.0,0,5,3,3,1,4,0,1,3,30.2,0,No Purchase
100061,18,Master,Self Employed,Hyderabad,Digital Marketing,Organic,6,0,1.0,0,2,0,0,2,1,0,0,0,8.4,0,No Purchase
100062,23,Bachelor,Student,Pune,Business Analytics,Referral,5,1,0.0,0,1,0,1,0,1,0,0,0,7.9,0,No Purchase
100063,26,Bachelor,Student,Mumbai,Accounting,Instagram,13,12,3.0,0,8,3,5,2,6,0,0,9,41.8,0,No Purchase
100064,28,High School,Working Professional,Delhi,Data Science,Instagram,11,6,2.0,0,7,1,2,2,4,1,0,2,7.0,1,Data Science
100065,29,High School,Job Seeker,Lucknow,Business Analytics,Organic,7,1,1.0,1,3,0,1,1,1,0,0,4,5.2,0,No Purchase
100066,29,Master,Student,Jaipur,Digital Marketing,Organic,4,3,0.0,0,0,0,0,1,1,0,0,0,5.1,0,No Purchase
100067,23,Diploma,Student,Lucknow,Digital Marketing,Facebook,7,2,0.0,0,1,1,0,2,1,0,0,3,10.1,0,No Purchase
100068,23,Master,Job Seeker,Kolkata,Finance,Organic,11,3,0.0,0,3,2,0,1,4,0,0,3,8.8,0,No Purchase
100069,29,Bachelor,Student,Hyderabad,Data Science,Google,5,2,1.0,0,3,2,1,1,3,1,0,2,25.9,1,Data Science
100070,24,Bachelor,Working Professional,Pune,Digital Marketing,Referral,8,2,0.0,0,2,1,0,0,2,0,0,3,8.6,0,No Purchase
100071,19,Bachelor,Working Professional,Chennai,Data Science,Instagram,4,1,1.0,0,5,2,0,1,0,0,0,2,2.4,0,No Purchase
100072,19,Diploma,Self Employed,Delhi,Finance,LinkedIn,6,4,1.0,0,1,1,1,0,2,0,0,3,6.6,1,Finance
100073,20,Bachelor,Student,Hyderabad,Accounting,Facebook,4,0,0.0,0,4,1,0,0,1,0,0,0,5.4,0,No Purchase
100074,27,Master,Self Employed,Mumbai,Data Science,Google,3,5,0.0,0,0,0,0,0,0,0,0,0,9.1,0,No Purchase
100075,26,Diploma,Working Professional,Bengaluru,Accounting,Google,3,0,0.0,0,0,0,0,0,1,0,0,0,9.6,0,No Purchase
100076,28,Master,Self Employed,Kolkata,Data Science,LinkedIn,4,4,0.0,0,1,0,4,2,1,0,0,2,5.9,0,No Purchase
100077,23,Master,Student,Bengaluru,Data Science,LinkedIn,7,3,0.0,1,4,0,0,2,3,0,0,1,5.2,0,No Purchase
100078,26,High School,Working Professional,Kolkata,Business Analytics,Organic,7,4,1.0,0,4,1,3,2,4,0,1,5,3.6,0,No Purchase
100079,28,Bachelor,Job Seeker,,Accounting,Facebook,9,7,2.0,1,5,2,1,3,2,0,0,5,9.2,0,No Purchase
100080,23,High School,Job Seeker,Other,Business Analytics,Organic,9,5,2.0,0,4,1,2,2,5,0,1,2,7.2,0,No Purchase
100081,27,Bachelor,Student,Lucknow,Accounting,Organic,8,1,0.0,0,3,1,1,2,1,0,0,2,7.9,0,No Purchase
100082,22,Master,Working Professional,Jaipur,Digital Marketing,Google,11,5,2.0,1,3,1,2,1,4,0,0,4,29.6,0,No Purchase
100083,23,Master,Student,Bengaluru,Data Science,Google,8,0,0.0,0,0,1,0,0,0,0,0,0,14.8,0,No Purchase
100084,23,Master,Student,,Finance,Instagram,10,5,2.0,1,6,2,3,1,2,0,0,4,12.6,0,No Purchase
100085,19,Diploma,Working Professional,Chennai,Finance,Instagram,8,3,2.0,0,3,1,3,1,3,0,1,2,10.3,1,Finance
100086,27,Bachelor,Self Employed,Other,Data Science,Facebook,9,4,6.0,0,4,2,5,2,4,0,0,3,1.1,0,No Purchase
100087,23,Diploma,Working Professional,Pune,Business Analytics,Instagram,0,0,0.0,0,0,0,0,0,1,0,0,0,4.8,0,No Purchase
100088,25,Master,Student,Hyderabad,Accounting,Referral,12,7,3.0,0,5,1,2,1,3,0,1,3,3.7,0,No Purchase
100089,27,Diploma,Student,Lucknow,Accounting,Organic,3,0,1.0,0,0,0,0,0,1,0,0,0,10.9,0,No Purchase
100090,27,High School,Student,Kolkata,Accounting,Organic,10,6,4.0,0,4,3,4,2,6,0,1,3,8.7,1,Accounting
100091,28,High School,Student,Mumbai,Data Science,Facebook,4,4,1.0,0,2,0,1,0,2,0,0,5,5.3,0,No Purchase
100092,25,,Job Seeker,Pune,Business Analytics,Instagram,9,4,4.0,0,5,2,3,1,5,0,0,2,19.1,0,No Purchase
100093,23,Diploma,Student,Pune,Digital Marketing,Google,6,4,3.0,0,7,1,3,1,3,0,0,1,3.5,0,No Purchase
100094,25,High School,Student,Chennai,Data Science,Referral,10,4,3.0,0,8,3,2,2,6,0,1,3,6.7,1,Data Science
100095,18,Master,Working Professional,Other,Finance,Google,6,4,3.0,1,6,3,1,1,4,0,0,3,11.8,0,No Purchase
100096,18,Bachelor,Student,Pune,Data Science,Organic,12,5,7.0,1,6,3,6,3,4,0,0,4,8.7,1,Data Science
100097,18,Diploma,Student,Jaipur,Digital Marketing,Facebook,6,4,0.0,0,2,1,0,0,3,0,0,0,43.9,0,No Purchase
100098,20,Bachelor,Working Professional,Bengaluru,Accounting,Referral,4,3,0.0,0,1,1,1,1,2,0,0,0,15.9,1,Accounting
100099,27,Bachelor,Student,Delhi,Business Analytics,Facebook,6,3,0.0,0,4,1,1,0,3,0,0,4,11.4,0,No Purchase
100100,20,Bachelor,Working Professional,Bengaluru,Business Analytics,Google,7,5,3.0,0,6,1,2,1,4,0,0,3,20.6,0,No Purchase
100101,23,Bachelor,Working Professional,Pune,Data Science,Organic,9,3,2.0,1,5,1,2,1,5,0,0,5,16.6,0,No Purchase
100102,31,Bachelor,Working Professional,Lucknow,Data Science,Facebook,3,1,0.0,0,1,0,0,0,2,0,0,2,4.4,1,Data Science
100103,23,Bachelor,Student,Chennai,Business Analytics,Facebook,3,3,1.0,0,1,1,0,0,2,0,0,1,9.2,0,No Purchase
100104,29,Diploma,Student,Hyderabad,Accounting,Organic,11,4,3.0,0,3,2,3,1,4,0,0,4,16.0,1,Accounting
100105,20,Bachelor,Working Professional,Hyderabad,Finance,Instagram,14,4,3.0,1,5,2,2,3,5,1,0,6,11.3,1,Finance
100106,24,Bachelor,Student,Other,Accounting,Organic,6,1,1.0,0,8,0,3,0,3,0,0,0,8.2,1,Accounting
100107,20,Bachelor,Student,Mumbai,Finance,Organic,4,1,1.0,0,1,0,0,0,2,0,0,2,26.0,0,No Purchase
100108,23,Bachelor,Student,Mumbai,Accounting,LinkedIn,14,8,4.0,0,8,3,3,1,4,1,1,5,33.9,0,No Purchase
100109,29,Bachelor,Student,Chennai,Business Analytics,Organic,3,3,3.0,0,0,2,1,0,1,0,0,3,8.5,0,No Purchase
100110,18,Bachelor,Student,Kolkata,Accounting,Google,10,6,2.0,0,9,2,4,1,2,0,0,6,43.2,0,No Purchase
100111,27,High School,Self Employed,Bengaluru,Finance,Referral,0,1,0.0,0,1,0,0,0,2,0,0,0,21.4,0,No Purchase
100112,26,High School,Working Professional,Delhi,Data Science,Referral,9,8,4.0,0,4,2,1,1,1,0,0,1,11.5,1,Data Science
100113,22,Bachelor,Working Professional,Pune,Business Analytics,Google,6,4,2.0,0,3,0,0,1,1,0,0,2,20.3,0,No Purchase
100114,18,Diploma,Student,,Accounting,Organic,6,2,0.0,0,6,2,1,0,2,0,0,3,4.6,0,No Purchase
100115,25,Bachelor,Student,Delhi,Accounting,Instagram,11,7,2.0,1,6,2,3,2,4,0,0,6,16.0,1,Data Science
100116,22,High School,Job Seeker,Bengaluru,Data Science,Referral,6,6,1.0,0,5,2,2,0,1,0,0,2,11.1,0,No Purchase
100117,26,Bachelor,Working Professional,,Business Analytics,Instagram,9,2,2.0,0,5,0,3,1,1,0,0,2,22.3,0,No Purchase
100118,25,Bachelor,Self Employed,Hyderabad,Finance,Google,9,5,1.0,1,3,0,1,1,2,0,0,2,17.9,1,Finance
100119,33,Bachelor,Student,Kolkata,Business Analytics,Instagram,4,1,2.0,0,5,1,0,0,3,0,0,2,29.3,0,No Purchase
100120,24,Bachelor,Student,Delhi,Data Science,Google,13,9,4.0,0,5,2,5,2,4,0,0,5,1.1,1,Data Science
100121,20,Bachelor,Working Professional,Hyderabad,Finance,LinkedIn,6,2,1.0,0,7,0,2,1,3,0,0,2,16.9,0,No Purchase
100122,26,Master,Student,Hyderabad,Data Science,Organic,11,7,5.0,1,6,2,4,3,3,0,0,5,3.1,1,Data Science
100123,26,Bachelor,Student,Delhi,Finance,Google,8,5,3.0,0,3,1,0,1,3,0,0,1,16.9,0,No Purchase
100124,32,,Student,Kolkata,Business Analytics,Instagram,8,4,3.0,0,3,2,1,1,3,0,0,4,12.6,1,Business Analytics
100125,29,Diploma,Student,Delhi,Finance,LinkedIn,6,3,1.0,1,3,1,0,3,2,0,0,1,7.8,0,No Purchase
100126,27,Bachelor,Job Seeker,Other,Business Analytics,Referral,6,4,1.0,0,5,0,0,1,2,0,0,3,7.5,0,No Purchase
100127,32,Bachelor,Job Seeker,Chennai,Digital Marketing,Facebook,10,6,3.0,0,5,0,3,1,4,0,0,3,2.8,1,Digital Marketing
100128,19,Bachelor,Working Professional,Bengaluru,Finance,Referral,12,10,5.0,1,8,2,5,2,5,1,0,4,17.6,1,Finance
100129,22,,Student,Other,Accounting,Instagram,10,11,3.0,0,5,3,2,1,4,1,0,5,12.0,1,Accounting
100130,20,Master,Job Seeker,Bengaluru,Business Analytics,Instagram,6,3,3.0,0,3,1,3,1,3,0,0,4,8.9,0,No Purchase
100131,23,Master,Working Professional,Bengaluru,Accounting,Google,5,5,2.0,0,2,1,0,0,0,0,1,0,15.0,0,No Purchase
100132,18,Bachelor,Job Seeker,Bengaluru,Data Science,Organic,8,11,2.0,1,4,1,2,1,3,0,0,4,32.2,0,No Purchase
100133,28,Master,Working Professional,Pune,Business Analytics,Instagram,6,2,1.0,1,2,0,0,0,3,0,0,1,9.3,0,No Purchase
100134,24,Master,Self Employed,Kolkata,Accounting,Facebook,8,1,1.0,0,1,0,0,0,4,0,0,2,9.1,0,No Purchase
100135,18,High School,Student,Chennai,Business Analytics,LinkedIn,10,5,3.0,0,4,2,3,2,3,0,0,2,5.6,1,Business Analytics
100136,20,Bachelor,Working Professional,Other,Digital Marketing,Facebook,3,5,0.0,0,2,1,2,0,5,0,0,1,18.1,0,No Purchase
100137,27,High School,Job Seeker,Other,Finance,Instagram,6,5,1.0,0,4,1,1,1,2,0,0,2,4.9,0,No Purchase
100138,29,Diploma,Job Seeker,Mumbai,Finance,Facebook,7,4,1.0,0,4,1,4,1,5,0,0,2,8.4,0,No Purchase
100139,35,Diploma,Self Employed,Other,Business Analytics,Instagram,9,7,3.0,1,4,1,2,1,5,0,0,6,4.8,1,Business Analytics
100140,40,Bachelor,Student,Delhi,Business Analytics,Organic,3,3,0.0,0,3,0,0,0,1,0,0,0,16.3,0,No Purchase
100141,27,High School,Working Professional,Other,Finance,Organic,13,9,3.0,1,6,2,4,2,6,0,1,4,8.6,0,No Purchase
100142,20,Diploma,Student,Bengaluru,Data Science,Instagram,11,5,2.0,0,3,1,1,2,2,0,0,3,16.4,0,No Purchase
100143,18,High School,Working Professional,Bengaluru,Data Science,Facebook,10,4,2.0,0,6,1,3,0,2,0,0,3,2.2,0,No Purchase
100144,26,Bachelor,Student,Hyderabad,Finance,Referral,6,4,0.0,0,1,0,1,2,2,0,0,0,8.2,0,No Purchase
100145,21,Master,Student,Mumbai,Finance,Organic,4,4,0.0,0,1,0,0,0,3,0,0,3,11.4,0,No Purchase
100146,23,Master,Self Employed,Lucknow,Finance,Instagram,7,6,1.0,0,2,0,1,1,2,0,0,3,16.9,0,No Purchase
100147,22,Bachelor,Job Seeker,Mumbai,Data Science,Referral,11,3,2.0,1,5,3,3,1,1,0,0,1,9.7,0,No Purchase
100148,24,Diploma,Working Professional,Hyderabad,Accounting,LinkedIn,10,5,1.0,1,4,1,3,1,4,0,0,3,9.4,0,No Purchase
100149,30,Master,Student,Jaipur,Business Analytics,Instagram,7,6,2.0,0,4,1,1,0,2,0,0,2,21.6,0,No Purchase
100150,26,High School,Student,Chennai,Data Science,Organic,13,7,2.0,1,5,4,4,3,3,1,0,5,4.4,1,Data Science
100151,24,Master,Student,Pune,Digital Marketing,Organic,7,3,0.0,0,2,1,2,0,3,0,0,4,14.4,1,Digital Marketing
100152,20,Bachelor,Student,Other,Data Science,Google,12,4,3.0,0,4,2,1,1,4,0,1,3,16.8,0,No Purchase
100153,18,Bachelor,Self Employed,Delhi,Accounting,LinkedIn,10,4,2.0,0,6,3,4,2,4,1,0,3,3.1,1,Accounting
100154,23,High School,Working Professional,Bengaluru,Business Analytics,Organic,9,2,1.0,0,2,1,1,0,1,0,0,2,9.0,0,No Purchase
100155,25,High School,Student,Mumbai,Finance,Facebook,2,0,1.0,0,0,0,1,0,3,0,0,0,17.6,0,No Purchase
100156,34,Bachelor,Working Professional,Mumbai,Business Analytics,Referral,9,4,2.0,0,3,1,0,0,3,0,0,1,8.9,0,No Purchase
100157,26,Bachelor,Student,Mumbai,Data Science,Instagram,12,7,2.0,1,5,1,2,1,3,0,0,5,12.2,1,Data Science
100158,30,Bachelor,Student,Chennai,Finance,Instagram,6,3,1.0,0,4,2,1,1,3,0,0,4,8.1,1,Finance
100159,23,Bachelor,Student,Bengaluru,Data Science,LinkedIn,11,3,2.0,0,6,2,2,1,3,0,0,2,28.0,0,No Purchase
100160,19,Bachelor,Student,Chennai,Finance,Referral,3,5,0.0,1,4,0,1,2,2,0,0,4,14.7,1,Finance
100161,20,Diploma,Working Professional,Kolkata,Finance,Instagram,1,0,1.0,0,0,2,0,0,3,0,0,0,7.6,0,No Purchase
100162,21,Bachelor,Working Professional,Bengaluru,Digital Marketing,Organic,12,6,1.0,0,5,1,1,1,3,0,0,5,10.5,0,No Purchase
100163,36,High School,Working Professional,Pune,Finance,Facebook,7,6,1.0,0,4,2,2,1,3,0,0,2,6.5,0,No Purchase
100164,21,,Job Seeker,Mumbai,Business Analytics,Google,3,2,0.0,0,3,0,0,0,1,0,0,2,12.4,0,No Purchase
100165,29,Bachelor,Self Employed,Kolkata,Finance,Google,2,1,2.0,0,2,1,0,0,0,0,0,0,23.3,0,No Purchase
100166,20,Bachelor,Job Seeker,Bengaluru,Data Science,LinkedIn,4,6,1.0,0,4,0,2,0,1,0,1,2,7.6,0,No Purchase
100167,30,Bachelor,Self Employed,Lucknow,Accounting,Instagram,9,5,2.0,0,5,2,2,0,3,0,0,3,8.4,0,No Purchase
100168,27,Diploma,Self Employed,Pune,Digital Marketing,Instagram,5,1,0.0,1,1,1,4,0,2,0,0,0,3.4,0,No Purchase
100169,24,Bachelor,Job Seeker,Chennai,Business Analytics,Referral,8,2,2.0,0,6,1,6,1,2,0,1,2,11.8,0,No Purchase
100170,25,Bachelor,Student,Bengaluru,Business Analytics,Referral,2,1,0.0,0,0,0,1,0,0,0,0,0,9.9,0,No Purchase
100171,22,Bachelor,Student,Bengaluru,Accounting,Facebook,4,1,3.0,1,5,0,2,0,4,0,0,1,18.4,0,No Purchase
100172,27,Bachelor,Working Professional,Hyderabad,Business Analytics,LinkedIn,8,0,0.0,0,4,0,0,1,0,0,0,0,5.9,0,No Purchase
100173,23,Master,Job Seeker,Chennai,Finance,Instagram,6,4,1.0,0,6,0,4,0,3,0,0,2,15.8,0,No Purchase
100174,19,Diploma,Job Seeker,Hyderabad,Business Analytics,Google,4,1,0.0,0,1,0,1,3,1,0,0,3,15.6,0,No Purchase
100175,19,Bachelor,Working Professional,Lucknow,Finance,LinkedIn,9,6,3.0,0,5,3,2,2,4,0,0,4,9.5,1,Finance
100176,26,Bachelor,Job Seeker,Delhi,Data Science,Google,10,5,2.0,0,3,3,3,1,3,1,0,6,28.2,0,No Purchase
100177,33,High School,Working Professional,Jaipur,Finance,LinkedIn,2,0,1.0,0,0,1,1,0,2,0,0,1,41.5,1,Finance
100178,26,Bachelor,Working Professional,Other,Accounting,Organic,11,4,4.0,0,6,1,4,1,4,0,0,4,20.9,0,No Purchase
100179,24,Bachelor,Student,Bengaluru,Finance,Organic,7,3,1.0,0,4,0,2,0,4,0,1,2,1.4,0,No Purchase
100180,26,High School,Working Professional,Delhi,Data Science,Google,10,3,3.0,0,4,2,5,1,2,0,0,3,4.2,1,Data Science
100181,32,High School,Student,Pune,Finance,Google,5,0,1.0,0,1,1,1,1,4,0,0,3,5.3,0,No Purchase
100182,26,Bachelor,Student,Delhi,Accounting,Google,11,4,2.0,0,7,2,2,1,4,0,1,4,3.5,1,Accounting
100183,23,Bachelor,Working Professional,Mumbai,Digital Marketing,Facebook,14,6,4.0,1,7,3,3,4,8,0,1,7,20.3,1,Digital Marketing
100184,31,Diploma,Student,Hyderabad,Business Analytics,Organic,7,6,2.0,1,4,2,1,1,4,0,1,4,33.4,0,No Purchase
100185,27,High School,Self Employed,Pune,Business Analytics,Instagram,10,2,1.0,0,5,3,0,1,5,0,1,2,23.6,0,No Purchase
100186,33,Diploma,Working Professional,Mumbai,Accounting,Google,10,7,2.0,0,6,4,2,1,4,0,0,4,11.8,1,Accounting
100187,26,Diploma,Working Professional,Other,Accounting,Google,4,4,1.0,0,1,1,2,0,4,0,0,2,4.6,1,Accounting
100188,19,Bachelor,Student,Mumbai,Digital Marketing,Facebook,9,3,2.0,0,5,1,2,1,2,0,0,5,8.8,1,Digital Marketing
100189,18,Diploma,Job Seeker,Mumbai,Business Analytics,Google,15,7,4.0,1,9,4,6,2,5,0,1,7,14.8,1,Business Analytics
100190,33,Diploma,Working Professional,Mumbai,Digital Marketing,Organic,8,6,1.0,0,5,0,0,0,2,0,0,1,39.7,0,No Purchase
100191,34,High School,Working Professional,Other,Digital Marketing,Instagram,10,4,2.0,0,3,2,2,2,4,1,1,3,24.6,0,No Purchase
100192,24,Bachelor,Working Professional,Jaipur,Finance,Facebook,17,7,3.0,0,8,4,3,3,5,0,0,4,4.1,0,No Purchase
100193,23,Bachelor,Working Professional,Delhi,Business Analytics,Organic,13,5,3.0,0,8,3,3,1,4,1,0,3,6.4,1,Business Analytics
100194,32,Bachelor,Working Professional,,Digital Marketing,Referral,9,3,4.0,0,7,1,2,3,2,1,0,3,7.9,0,No Purchase
100195,19,Bachelor,Working Professional,Delhi,Data Science,LinkedIn,0,2,1.0,0,0,0,0,0,0,0,0,2,20.3,0,No Purchase
100196,21,Master,Job Seeker,Delhi,Accounting,Organic,7,2,0.0,0,5,0,0,1,1,0,0,0,6.1,0,No Purchase
100197,28,Bachelor,Student,Delhi,Finance,Google,9,4,4.0,0,5,2,3,3,2,0,0,4,8.8,0,No Purchase
100198,23,Master,Self Employed,Lucknow,Data Science,Google,7,4,1.0,0,2,0,3,1,2,0,0,4,14.3,1,Data Science
100199,25,Bachelor,Student,Hyderabad,Accounting,Organic,7,2,0.0,1,2,0,0,1,2,0,0,2,17.6,0,No Purchase
100200,24,High School,Student,Pune,Accounting,Organic,11,6,2.0,1,6,3,2,2,5,1,0,3,9.5,0,No Purchase
100201,27,Bachelor,Student,Delhi,Business Analytics,LinkedIn,16,3,2.0,0,6,1,5,2,8,1,0,3,8.7,0,No Purchase
